ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077
ASV_107	6.704	14.138	1.49977776940148e-12	2.5346244302885e-10	Enriched	1.721	0.049	0.005	0.019	0.451	0.092	0	0.005	0	0	0.001	0.021	0	0	0	0	0	1.911	41.14	0.207	0.109	0.329	0.189	0.189	0	0	0	0.067	0.253	0.002	0.017	0.006	0.029	0.002	0.074	0.068	0.017	0.004	0.028	0.248	0.238	0.289	0.158	0.025	0.192	0.157	0.034	0.002	0	0.002	0.002	0.001	0.007	0.02	0.028	0.008	0	0	0.008	0.005	0.009	0.035	0	0.004	0.001	0	0.063	0.008	0.002	0.003
ASV_203	3.849	11.403	2.62629648982841e-11	2.21922053390501e-09	Enriched	0.23	0.031	0.027	0.047	0.008	0.045	0.193	0.012	1.15	0.015	0.011	2.019	0	0.062	0.003	0.001	0.132	0.001	0.008	0.273	0.055	0.114	0.491	0.034	0.058	0.777	0.435	0	0.019	0.017	0.009	0.012	0.027	0	0.034	0.085	0.04	0.034	0.023	0.044	0.028	0.021	0.009	0.007	0.017	0.029	0.055	0.029	0.004	0.039	0.136	0.213	0.012	0.003	0.016	0.014	0.027	0.019	0.012	0.088	0.004	0.005	0.01	0.049	0.014	0.001	0.01	0.013	0.085	0.003
ASV_71	5.093	14.317	3.44376940266501e-10	1.93999009683462e-08	Enriched	1.7	0.106	0.043	0.002	0.163	0.026	0.032	0	0	0.003	0.013	1.756	0	0.001	0	0.023	0.001	0.295	0.329	0.768	20.013	1.328	13.113	5.809	0	0.283	0.194	0.001	0.028	0.003	0.011	0.01	0.005	0.208	0.018	0.038	0.044	0.022	0.085	0.131	0.21	0.052	0.031	0.016	0.015	0.081	0.013	0.056	0.004	0.008	0.002	0.053	0.002	0.002	0	0	0.025	0.593	0.01	0.081	2.178	0.027	0.016	0.145	0.019	0.007	0.011	0.019	0.009	0.181
ASV_105	6.621	13.914	1.9427037330354e-09	8.20792327207457e-08	Enriched	1.071	0.032	0	0.002	0.069	0.024	0.254	0	13.531	0	0	0.113	0	0	0	0	0	0	0.094	0.148	1.358	0.715	8.074	0.802	0	0.468	2.179	0.004	0	0.002	0.006	0.028	0	0	0	0	0.015	0.036	0	0.014	0.293	0.049	0.029	0	0.012	0.014	0	0.041	0.013	0	0	0	0.101	0	0	0	0	0	0.002	0.504	0.015	0	0	0.011	0.022	0.006	0.019	0.11	0.001	0.002
ASV_174	4.669	13.406	3.52516800810418e-08	1.19150678673921e-06	Enriched	0.871	0.106	0.048	0.347	0.033	0.015	0.201	0.014	0	0	0	0	0.003	0.015	21.801	0	0.021	0.001	0	0.009	0.001	0	0	0.007	0.049	0.033	0.021	0.018	0.161	0.027	0.048	0.051	0.117	0.007	0.135	0.038	0.44	0.15	0.739	0.188	0.147	0.085	0.022	0.325	0.05	0.243	0.025	0.014	0.036	0.129	0.746	0	0.096	0.105	0.089	0.116	0.014	0.003	0	0.065	0	0.001	0	0	0.002	0.024	0.006	0.007	0	0.001
ASV_85	2.662	12.49	2.10546010635139e-07	5.93037929955641e-06	Enriched	0.553	0.137	0.192	0.531	0.036	0.026	0.026	0.235	0.01	0.071	7.009	0.024	0.376	0.037	0.225	0.104	0.807	2.677	0.05	0.259	0.427	0.229	0.185	0.123	0.034	0.138	0.512	0.038	0.025	0.236	0.235	0.35	0.133	0.328	0.145	0.243	0.059	0.119	0.13	0.095	0.085	0.026	0.027	0.163	0.032	0.095	0.047	0.016	0.139	0.278	0.009	0.025	0.015	0.217	0.009	0.002	0.005	0.075	0.032	0.109	0.012	0.392	0.131	0.372	0.228	0.02	0.136	0.775	0.081	0.106
ASV_176	3.409	10.892	1.381568501788e-06	3.33550109717388e-05	Enriched	0.166	0.03	0.017	0.002	0	0	0.267	0.041	0.003	0	1.201	0.001	0.001	0.848	0.001	0.873	0.003	0.425	0.042	0.444	0.001	0.007	0.001	0.004	0.002	0	0.001	0.138	0	0.002	0.04	0	0.013	0.014	0.005	0.008	0	0	0.005	0.022	0	0.005	0	0.016	0.012	0.098	0	0	0.025	0.051	0.099	0	0.145	0.042	0.041	0.013	0.107	0.038	0.067	0.025	0.015	0.001	0.024	0.056	0.013	0.011	0.196	0.012	0.011	0.014
ASV_29	2.197	13.077	1.99698078822441e-06	4.21862191512406e-05	Enriched	0.871	0.277	0.396	0.229	0.111	0.244	1.805	0.302	0.743	0.01	0.018	0.324	0.379	0.017	0.196	0.028	2.692	1.084	0.053	5.004	0.328	0.536	2.726	0.942	0.135	2.187	1.619	0.551	0.209	0.206	0.209	0.269	0.191	0.031	0.21	0.177	0.966	0.67	0.241	0.098	0.234	0.131	0.29	0.07	0.292	0.288	0.085	0.105	0.511	0.557	0.72	0.408	0.273	0.145	0.019	0.144	0.018	0.295	0.012	0.04	0.197	0.041	0.264	0.04	0.103	0.024	0.175	0.843	0.297	1.523
ASV_117	2.875	12.963	2.30650379346879e-06	4.33110156773584e-05	Enriched	0.827	0.188	0.041	0.039	0.31	0.062	0.128	0.103	1.116	0.001	0.014	0.057	0.099	0.475	8.103	0.008	1.234	0.157	0.003	0.229	0	0.032	0.001	0.04	8.641	0.023	0.328	0.249	0.011	0.305	0.708	0.889	0.112	0.024	0.031	0.029	0.023	0.059	0.21	0.011	0.421	0.247	0.098	0.007	0.042	0.795	0.023	0.035	0.118	0.052	0.276	0.138	0.059	0.109	0.023	1.164	0	0.024	0.024	0.376	0.013	0.01	0.415	0.039	0.419	0.493	0.025	0.009	0.01	0.002
ASV_24	-8.491	11.993	3.1028996996331e-06	5.24390049237994e-05	Depleted	0.001	0.436	0	0	0.003	0.004	0	0.002	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0.014	0	0.002	0.008	0.003	0	0	0.011	0	0	0.002	0	0	0	0	0.004	0	12.141	0	0	0.005	0.005	0	0	0.016	0.003	0.001	0.012	0.067	0.362	0.639	0.243	4.791	0	0
ASV_33	-3.421	12.638	3.53074374570108e-06	5.42450630021348e-05	Depleted	0.092	0.797	0.231	0.135	0.485	0.94	0.003	0.151	0	0.134	0.034	0	0.018	0.004	0	0.001	0.023	0.067	0.011	0.005	0.001	0.015	0.022	0.005	0	0.061	0.012	0.024	0.057	0.862	0.6	1.907	0.605	0.053	0.212	5.883	0.218	0.079	0.321	0.683	0.531	0.201	4.36	0.313	0.397	0.162	1.273	11.966	0.001	0.005	0.004	0	0.096	0.007	0.014	0.003	0.077	0.052	1.735	0.048	0.301	0.091	0.03	0.082	0.061	0.11	0.028	0.031	0.017	0.003
ASV_92	-4.567	9.347	3.89076752793149e-06	5.44563826162544e-05	Depleted	0.004	0.062	0.002	0.002	0.022	0.034	0.001	0.01	0.002	0.015	0.002	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.002	0.136	0.183	0.008	0.002	0	0	0.002	0.006	0	0.003	0	0.03	0.003	0.051	0.007	0.012	0.095	0.008	0.025	0	0	0.015	0.001	0.708	0.005	0.002	0.002	0	0	0.002	0.029	0	0.021	0	0.002	0.055	0.006	0.006	1.099	0.06	0.002
ASV_101	-7.695	12.238	4.18895250894264e-06	5.44563826162544e-05	Depleted	0.004	0.604	0	0	0.069	0.013	0.004	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.014	0.002	0.006	0.002	0	0.004	0.003	0.01	0.085	0.053	0.033	0.002	0.026	0.004	1.35	0.022	0.019	22.805	0.867	0	0.007	0.004	0	0	0	0	0	0	0	0.022	0.002	0	0	0	0.006	0.005	0	0	0	0	0
ASV_20	-3.802	14.005	5.02060351304244e-06	6.06058566931552e-05	Depleted	0.134	1.363	0.176	0.132	0.396	0.246	0.028	0.703	0.027	0.218	0.104	0.001	0	0	0.003	0.178	1.245	0.001	0.012	0	0	0.016	0	0	0	0	0	0.008	0.026	0.686	1.29	0.067	0.128	0.002	0.684	0.542	0.151	0.598	0.231	0.063	0.182	0.343	0.42	0.1	0.673	0.302	0.085	0.143	0.326	1.008	0.035	0.015	7.293	0.038	0.291	0.225	13.575	0.046	12.326	0.072	0.031	0.078	2.076	0.933	1.191	0.096	0.566	7.609	2.461	0.221
ASV_67	3.358	12.325	1.39904934788256e-05	0.000141171458734291	Enriched	0.448	0.086	0.002	0.002	0.108	0.083	0.274	0.046	0.006	0.066	0.035	10.689	0.001	0.008	0.128	0.001	0.163	0	0.005	0.003	0.005	0.006	0.003	0.004	0	0	0	0	0	0.017	0.018	0.208	0.022	0	0.002	0.003	0.01	0	0.065	0.305	0.137	0.134	0.038	0.052	0.007	0.193	0.017	0.027	0.027	0.005	0.022	0.004	0.192	0.026	0.016	0.48	0	0.01	0	0.002	0.001	0.008	0.017	0.005	0.029	0.007	0.047	0.27	0.084	1.104
ASV_123	3.021	11.003	1.41961445126309e-05	0.000141171458734291	Enriched	0.284	0.048	0.257	0.055	0.047	0.024	0	0.175	0.003	0	0.001	0.131	0.013	0	0	0.184	0.455	1.615	0.045	0.066	0.051	4.049	0.071	0.134	0	0	0	0	0.016	0.117	0.013	0.004	0.132	0.105	0.156	0.065	0.05	0.004	0.296	0.267	0.08	0.062	0.007	0.002	0.025	0.007	0	0.01	0	0	0.002	0.001	0	0.01	0.033	0	0.298	0.013	0.016	0.001	0.128	0.003	0	0.005	0.046	0.001	0.004	0.003	0.007	0.029
ASV_154	2.315	12.05	1.44765770170681e-05	0.000141171458734291	Enriched	0.43	0.118	0.036	0.274	0.033	0.049	0.007	0.048	0.007	0.031	1.056	0.003	0.06	0.48	0.318	0.122	0.354	6.335	0.019	0.613	0.018	0.482	0.027	0.056	0.381	0.072	0.246	0.041	0.005	0.091	0.09	0.071	0.036	0.012	0.09	0.14	0.023	0.01	0.03	0.022	0.061	0.041	0.147	0.184	0.08	0.131	0.051	0.014	0.399	0.008	0.147	0	0.04	0.028	0.044	0.011	0.016	0.061	0.075	0.047	0.001	0.326	0.126	0.349	0.456	0.036	0.337	0.621	0.226	0.264
ASV_26	2.111	13.897	1.50360133563151e-05	0.000141171458734291	Enriched	1.572	0.508	0.214	1.278	0.258	0.301	0.123	1.23	0.404	0.007	0.093	0.55	1.211	16.011	7.746	0.022	3.138	3.364	0.361	0.16	0.263	0.347	0.243	0.179	2.726	0.084	0.487	0.084	0.109	0.256	0.402	0.635	0.261	0.175	0.883	0.283	0.132	0.172	0.822	1.138	0.262	0.314	0.165	0.256	0.214	0.264	0.053	0.085	1.646	0.251	0.16	0.09	0.111	0.183	2.775	1.305	0.649	0.061	0.103	0.774	0.041	2.097	0.177	0.101	0.132	0.317	1.447	1.245	0.267	0.51
ASV_136	3.39	12.68	2.01546912975701e-05	0.000179270675225756	Enriched	0.902	0.104	0.046	0	0	0.021	0.006	0.065	0	0.067	0.047	0.001	12.085	0.22	0	0	0.079	9.062	0.027	0.106	0.036	0.481	0.435	0.681	0	0	0	0	0	0.002	0.006	0	0.05	0.002	0	0.015	0.138	0.002	0.033	0.003	0.054	0.005	0.029	0.025	0.037	0.088	0.051	0.196	0.492	0.931	0.015	0.003	1.363	0	0.069	0.019	0.043	0.005	0.032	0.012	0.054	0.015	0.001	0.009	0.001	0.001	0.008	0.284	0.175	0.086
ASV_94	2.201	12.369	5.64905873246365e-05	0.000477345462893178	Enriched	0.419	0.182	0.104	0.115	0.044	0.237	0.473	0.233	0.126	0.021	0.048	0.021	0.003	1.901	5.87	0	0.001	0.536	0.027	0.018	0.023	0.063	0.022	0.019	0.004	0.052	0.041	0.89	0.248	0.068	0.073	0.035	0.058	0.056	0.083	0.123	0.015	0.01	0.822	0.139	0.043	0.049	0.083	0.014	0.229	0.102	0.1	0.081	0.246	0.249	0.103	0.007	0.128	1.034	0.194	0.621	0.002	0.507	0.056	0.497	0.177	0.084	0.067	0.132	0.386	0.062	0.419	0.171	0.018	0.049
ASV_61	-5.283	13.013	8.04859051693784e-05	0.00064771990350595	Depleted	0.029	0.562	0.01	0.218	0.011	0.265	0	0	0	0.007	0	0	0	0	0	0	0	0.233	0.003	0	0	0.003	0	0.004	0	0	0	0	0	0.091	0.048	1.782	0.503	0	0.635	0.145	1.098	0.087	0.013	0.005	0	0.003	0	0.263	2.239	0.438	0.002	0.409	0	0	0	0	0.002	0.007	0.016	0	0.077	0.001	15.661	0.029	0.018	0	0.001	0.005	0.002	0	0.003	0.007	0	0.009
ASV_73	-2.767	11.359	9.2570622445955e-05	0.000711110690607563	Depleted	0.048	0.366	0.055	0.122	0.446	0.299	0.018	0.082	0.066	0.043	0.001	0	0	0	0	0	0	0.006	0.019	0	0.001	0.001	0.004	0.004	0	0.013	0.001	0.056	0.15	0.036	0.039	0.019	0.341	0.085	0.239	1.72	0.063	0.186	0.043	0.223	0.284	0.611	1.103	1.169	1.89	1.712	1.236	0.074	0.116	0.129	0.11	0.069	0.002	0.201	0.544	0.861	0.772	0.01	0	0.005	0	1.147	0.013	0.017	0.016	0.001	0.01	0	0.13	0.008
ASV_120	2.997	10.922	0.000117464849586196	0.000863111286089878	Enriched	0.231	0.054	0.005	0.003	0.011	0.049	0.007	0.319	0.093	0.001	0.007	0.007	0.006	2.166	0.015	0	0	0.054	0.025	0.05	0.065	0.118	0.97	2.026	0	0	0	0	0.25	0	0	0.001	0	0	0	0.14	0.002	0.006	0.025	1.435	0.022	0.008	0	0.009	0.047	0.005	0.042	0.037	0.046	0.024	0	0	0.008	0.013	0.039	0.02	0	0.006	0	0.011	0.003	0	0	0.002	0.008	0.024	0.025	0.009	0	0.019
ASV_18	2.301	14.743	0.000132299493066158	0.000931608930340863	Enriched	1.953	0.815	0.212	2.889	0.244	0.141	11.124	8.22	14.468	0.006	0.158	3.889	1.643	0.032	5.294	0.016	0	0.003	0.102	0.084	0.048	0.269	0.249	0.138	0.282	0.457	0.764	0.043	0.064	0.065	0.376	2.133	0.249	0.005	1.246	0.296	0.44	3.455	0.14	0.599	0.661	0.526	0.614	0.22	0.18	0.712	0.023	0.014	1.137	0.107	0.05	0.923	0.056	0.742	0.248	4.427	0.039	0.907	0.038	0.098	0.004	0.062	1.375	0.165	0.081	3.037	3.82	0.494	0.437	3.962
ASV_109	-3.38	12.95	0.000151308218947984	0.00102284356008837	Depleted	0.11	0.902	0.014	0.019	0.006	0.013	0.006	0.808	0	0.004	0.017	0.025	0.042	0.006	0	0	0.005	0.001	0.001	0.001	0.014	0.131	0.015	0.049	1.65	0.007	0.022	0.013	0.005	0.018	0.017	0.025	0.022	0	0.016	0.003	0.004	0.002	0.053	0.025	0.017	0.026	0.009	0.014	0.02	0.036	0.013	0.004	0.201	1.68	0.015	0.014	28.377	0.087	0.031	0.111	0.05	3.335	0.004	0.007	0.016	0.003	0	0.006	0.105	0.085	0.271	3.126	0.014	0.019
ASV_51	2.006	13.202	0.000161156672785058	0.00104751837310288	Enriched	0.745	0.307	0.127	0.107	0.061	0.235	0.603	0.549	1.758	0.018	0.079	5.321	0.883	1.075	0.603	0.003	0.055	0.066	0.065	1.921	0.329	0.39	1.641	0.882	0.34	1.187	1.06	0.011	0.014	0.059	0.094	0.197	0.013	0.01	0.102	0.131	0.513	0.397	0.16	0.117	0.256	0.09	0.058	0.073	0.047	0.014	0.125	0.324	2.54	0.142	0.184	1.265	0.093	0.082	0.072	1.023	0.018	0.02	0.018	0.078	0.001	0.08	0.216	0.176	0.111	0.253	2.286	0.123	0.73	0.571
ASV_82	-2.662	9.437	0.000189347003777706	0.0011851719866086	Depleted	0.016	0.091	0.057	0.042	0.111	0.15	0.004	0	0	0.022	0.004	0	0	0	0	0	0	0.017	0	0	0	0.003	0	0.003	0	0	0.001	0	0.029	0.188	0.163	0.118	0.169	0	0.179	0.097	0.648	0.417	0.028	0.03	0.113	0.147	0.056	0.032	0.13	0.765	0.017	0.041	0.003	0.005	0.055	0.011	0.002	0	0.011	0.002	0.025	0.014	0.214	0.001	0.001	0.017	0.012	0.007	0.015	0.004	0.02	0.014	0	0.042
ASV_167	-3.33	9.875	0.000450914951085285	0.00272159381190761	Depleted	0.015	0.159	0.022	0.073	0.191	0.081	0.001	0.014	0	0.001	0	0	0	0.006	0	0	0	0	0.004	0	0	0.001	0	0	0	0	0	0	0.247	0.083	0.141	0.071	0.658	0	0.07	1.862	0.034	0.028	0.13	1.974	0.154	0.134	0.085	0.05	0.444	0.355	0.068	0.041	0	0.002	0.015	0	0.002	0.003	0.006	0.006	0.007	0.001	0	0.002	0.012	0	0	0	0.001	0.001	0	0	0	0
ASV_114	2.885	13.271	0.000723355964441527	0.0042154192410558	Enriched	0.817	0.136	0.13	0.01	0.003	0.013	0.006	0.002	3.545	0.001	0.013	0.599	0.086	0.006	0.003	0	0.001	0.003	0.057	4.702	1.015	0.613	3.768	1.785	0	3.205	1.196	0.482	0.016	0.002	0.004	0	0.004	0.019	0.048	0.009	0.021	0.022	0.018	0	0	0.01	0.004	0.091	0.015	0.024	0.025	0.004	0.012	0.075	0.004	4.608	0.017	0.007	0.002	0	0	0	0.004	0.034	0	0.002	0.566	0.039	0	0	0.001	0	0.004	0.005
ASV_58	-2.169	11.578	0.00074850992235158	0.0042166058959139	Depleted	0.087	0.359	0.058	0.932	0.119	0.261	0.006	0.041	0.007	0.415	0.019	0	0.003	0.006	0.004	0.001	0	0.049	0.087	0.017	0.005	0.149	0.031	0.036	0	0	0.002	0.003	0.056	0.156	0.161	0.322	0.335	0.168	0.249	0.123	0.038	0.089	0.965	0.874	0.147	0.162	0.388	0.647	0.229	0.288	0.407	7.921	0.018	0.005	0.018	0.001	0.03	0.046	0.006	0.239	0.027	0.084	0.012	0.016	0.013	0.467	0.012	0.021	0.018	0.066	0.052	0.031	0.005	0.171
ASV_72	2.335	14.348	0.000886003445726271	0.00483014781702386	Enriched	1.284	0.602	0.009	0.313	0.05	0.22	0.158	0.408	0	0.669	0.108	0.034	0.929	0.011	1.763	17.456	6.909	3.399	0.014	0.031	0.005	0.006	0.003	0.003	0.007	0.01	0.051	0.815	0	0.082	0.07	0.456	0.265	0.299	0.115	0.912	0.407	0.059	0.088	0.076	0.143	0.028	0.484	0.209	0.012	0.007	0.696	0.039	0.469	15.766	0.167	0.006	1	0.078	0.145	0.327	0	0.003	0.016	0.036	0.127	0.604	0.352	0.41	0.055	0.048	0.447	0.787	0.012	0.001
ASV_134	2.037	12.203	0.000974640636186545	0.00504951911151366	Enriched	0.327	0.187	0.033	0.089	0.114	0.051	0.015	0.065	0.01	0.024	0.011	0.001	0.063	0.026	0.071	0	0.012	0.193	6.531	0.054	0.663	0.083	0.087	0.188	0	0.072	0.05	0	0.019	0.039	0.05	0.153	0.056	0.012	0.045	0.059	0.019	0.053	1.496	0.174	0.102	0.088	0.067	0.293	0.272	0.121	0.316	0.035	0.003	1.255	0.011	0	0.005	0.069	1.127	0.235	0.084	0.061	0.004	0.016	0.004	0.582	0.007	0.036	0.029	0.043	0.048	0.013	0.02	0.749
ASV_42	-2.252	12.897	0.00100781205832801	0.00504951911151366	Depleted	0.164	0.707	0.026	0.01	0.324	0.526	0.072	1.328	0.002	0.046	0.034	0.057	0.001	0.003	0.001	0.008	0	1.236	0.023	0.117	0.01	0.023	0.004	0.053	0	0.001	0	0.363	0.175	0.686	0.209	0.194	0.054	0.041	0.031	0.219	0.465	7.812	0.115	0.245	0.234	1.049	1.56	0.066	0.254	0.376	0.085	0.134	0.018	0.09	0.779	0.003	0.165	0.015	0.927	0.038	5.545	0.108	4.618	0.02	0.79	0.154	0.251	0.032	0.125	0.205	0.057	1.604	0.01	0.138
ASV_128	-4.298	6.847	0.00101587958456488	0.00504951911151366	Depleted	0	0.016	0	0	0.008	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.381	0.231	0.004	0.015	0.002	0.02	0.002	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0.001	0	0	0	0	0.002	0
ASV_106	2.919	13.346	0.00127783619367044	0.00617012333515154	Enriched	0.461	0.217	0	0.018	0	0.013	0.053	0.192	10.612	0	0.057	0	0.302	0.006	0.639	0.004	0.001	0	0.003	0.057	0.003	0.003	0.001	0.011	0	0	0	0	0.005	0.003	0.002	0.006	0.014	0	0.005	0	0.025	0.008	0	0.014	0.022	0.003	0.007	0.002	0.037	0.002	0.013	0.004	0.983	0.063	0.88	0	0.019	1.028	0.003	0.022	0	0.114	0.05	0.058	0.026	0.016	0.001	0	0.04	0.052	1.502	0.034	0.076	3.96
ASV_95	-3.274	12.378	0.00144430551105902	0.00678021198247151	Depleted	0.067	0.399	0.007	0.096	0.191	0.073	0.003	0.002	0	1.218	0.007	0	0	0	0.001	0	0	0	0.016	0	0	0.003	0	0.122	0	0	0	0	0.04	0.023	0.042	0.216	0.081	0.071	0.242	0.045	0.013	0.061	3.774	0.754	0.124	0.835	0.4	0.15	0.085	0.088	0.038	0.027	0	0.029	0.002	0	0.135	0	0	0	0.057	0.008	9.201	0.041	0.02	0	0.004	0.019	0.014	0.001	0.006	0.014	0.08	0
ASV_158	2.715	11.486	0.00198096068371257	0.00904817177155199	Enriched	0.316	0.071	0	0.049	0	0.011	0.036	0.005	0	0	0.004	0.748	0.36	0	0	0	0	0.053	0.123	0.176	0.111	0.141	1.118	5.206	0	0.041	0.041	0	0	0.191	0.059	0.158	0.643	0	0.018	0.092	0.004	0	0.271	0.019	0	0.008	0.004	0	0	0	0	0.002	0.857	0	0.018	0	0	0.031	0	0.03	0	0	0.002	0.007	0.001	0.045	0	0	0.04	0.025	0.043	0.177	0.238	0.01
ASV_66	-3.404	11.69	0.00226605744636674	0.0100779923272626	Depleted	0.019	0.331	0	0.062	0	0	0.036	0.007	0.013	0	0.113	0	0	0.004	0	0.083	0	0	0.004	0.003	0.004	0.007	0.055	0.107	0	0.002	0	0	0	0	0	0	0.041	0	0.025	0	0.092	0	0	0.008	0.002	0	0.011	0	0	0	0.174	0.165	0.577	0.002	0	0.018	0.002	0.002	0.005	0.005	0.002	0	0.03	11.162	0.007	0.001	0.032	0.277	0.02	1.072	0.024	0.016	0.041	0.072
ASV_116	-2.113	11.227	0.00250852630692974	0.0108702806633622	Depleted	0.079	0.364	0.296	0.294	0.842	0.263	0.004	0.002	0.001	0.197	0.001	0	0	0.001	0	0	0	0.007	0.005	0.039	0.001	0.003	0.008	0.023	0	0.007	0.011	0.048	0.037	0.556	0.213	0.85	0.117	0.121	0.077	0.099	0.323	0.273	0.053	0.06	0.496	2.621	0.35	3.49	1.708	1.61	1.298	0.035	0.003	0.024	0.004	0.244	0.003	0.008	0.003	0.002	0.002	0.001	0.022	0.012	0.004	0.364	0.004	0.101	0.013	0	0.013	0.023	0.033	0.01
ASV_21	-2.209	12.709	0.00338304862262331	0.0142933804305835	Depleted	0.219	0.834	1.844	1.888	0.357	0.314	0	1.105	0.002	0.049	0.008	0	0.013	0	0	0.012	0.003	0.02	0.014	0.008	0.015	0.01	0.003	0.012	0	0	0.011	0.001	0.096	9.327	7.176	2.49	0.359	0.082	0.691	2.729	0.054	0.138	0.398	1.838	0.544	1.606	0.368	0.402	0.312	0.755	1.05	0.642	0.183	0.044	0.002	0.01	0.002	0.219	0.028	1.598	0.007	0.029	0.008	0.009	0	1.458	0.016	0.005	0.009	0.007	0.27	0.048	0.005	0.009
ASV_36	-1.8	12.388	0.00373115059449538	0.0153796207431639	Depleted	0.204	0.68	0.468	0.937	0.498	0.648	0.013	1.475	0.006	0.582	0.012	0.006	0.001	0.006	0.009	0	0.067	0.195	0.02	0.003	0.009	0.192	0	0.017	0	0	0.001	0.133	0.219	0.617	0.721	1.327	0.364	1.124	0.372	0.254	0.237	0.192	0.564	2.271	0.451	0.536	0.208	6.931	0.741	1.029	0.817	6.277	0.045	0.02	0.031	0.021	0.051	0.168	0.031	0.25	0.155	1.451	0.03	0.028	0.117	0.492	0.017	0.03	0.006	0.064	0.068	0.085	0.004	0.151
ASV_31	1.605	13.375	0.0042110161496919	0.016944326888046	Enriched	1.035	0.435	0.24	0.292	0.033	0.09	0.09	1.424	0.276	0	0.203	0.515	1.938	0.001	7.005	0.019	5.336	0.001	0.055	0.07	0.17	0.274	0.07	0.189	7.736	0.167	0.656	0.056	0.051	0.082	0.347	0.273	0.056	0.039	0.095	0.089	0.138	0.02	0.205	0.052	0.063	0.072	0.036	0.023	0.062	0.102	0.083	0.091	0.714	0.213	0.079	0.075	0.094	5.504	0.527	1.623	0.073	0.14	0.185	0.869	0.048	0.067	0.087	0.097	1.506	1.194	1.2	1.215	0.535	0.237
ASV_126	1.804	11.698	0.00444037950770744	0.0174146882631988	Enriched	0.242	0.106	0.06	0.003	0.017	0.013	0.099	0.014	1.26	0	0.025	1.166	0.019	0.199	0.001	0.077	0.015	0.01	0.011	0.639	0.017	1.432	0.017	0.004	0.269	0.126	0.446	0.363	0.073	0.003	0.006	0.001	0.011	0.003	0.007	0.005	0.023	0.012	0.038	0.016	0.063	0.015	0.02	0.005	0	0.012	0.004	0.006	0.025	1.815	0.011	0.011	0.061	0.003	0.011	0.002	0.032	0.017	0.095	0.041	0.578	0.017	0.737	0.109	0.367	0.001	0.014	0.071	0.026	0.081
ASV_140	-2.073	9.435	0.00462874009381953	0.0174146882631988	Depleted	0.025	0.106	0.07	0.042	0.1	0.387	0.004	0.01	0	0.015	0.007	0	0	0	0	0	0	0	0	0	0	0	0.001	0.008	0	0	0.015	0.001	0.065	0.021	0.044	0.018	0.128	0	0.081	0.815	0.029	0.012	0.035	0.553	1.277	0.049	0.527	0.025	0.182	0.091	0.04	0.002	0.003	0.039	0.07	0.004	0.003	0.007	0.156	0.003	0.007	0.009	0.002	0.02	0.015	0.017	0	0.004	0.004	0.102	0.004	0.001	0	0
ASV_157	2.425	11.272	0.00463704717067424	0.0174146882631988	Enriched	0.173	0.054	0.038	0.029	0.003	0.004	0.003	0	0.384	0.001	0.002	2.085	0.003	0	0.004	0	0.004	0	0.014	0.043	0.41	0.029	1.061	0.273	0	0.083	0.021	0	0.042	0.003	0.002	0	0	0.014	0.004	0.028	0.184	0.01	0.013	0.003	0.011	0.003	0.002	0	0.007	0.017	0.206	0.229	0.001	0.002	0.004	0.914	0.005	0	0	0.002	0.002	0.003	0	0.515	0	0	0.036	0.005	0	0	0	0	0.001	0
ASV_148	-4.133	10.515	0.0063277609540516	0.0232476435051026	Depleted	0.01	0.108	0.002	0	0	0.002	0.001	0.216	0	0	0.038	0	0.001	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.007	0.002	0	0.004	0	0.165	0.356	0.002	3.872	0	0.015	0.008	0.002	0	0.03	0	0	0.001	0	0	0.001	0	0	0	0	0.017	0.035
