"source","target","correlation","direct","cor"
"ASV_39","ASV_54",-0.811679449913428,"undirected","-"
"ASV_44","ASV_54",-0.898645105261295,"undirected","-"
"ASV_41","ASV_54",-0.869656553478673,"undirected","-"
"ASV_81","ASV_54",-0.811679449913428,"undirected","-"
"ASV_50","ASV_54",-0.927633657043918,"undirected","-"
"ASV_109","ASV_54",0.84066800169605,"undirected","+"
"ASV_64","ASV_54",-0.84066800169605,"undirected","-"
"ASV_99","ASV_54",-0.927633657043918,"undirected","-"
"ASV_114","ASV_54",-0.811679449913428,"undirected","-"
"ASV_96","ASV_54",-0.84066800169605,"undirected","-"
"ASV_103","ASV_54",-0.869656553478673,"undirected","-"
"ASV_134","ASV_54",-0.927633657043918,"undirected","-"
"ASV_226","ASV_54",0.927633657043918,"undirected","+"
"ASV_197","ASV_54",0.811679449913428,"undirected","+"
"ASV_231","ASV_54",-0.898645105261295,"undirected","-"
"ASV_169","ASV_54",0.869656553478673,"undirected","+"
"ASV_210","ASV_54",0.970588235294118,"undirected","+"
"ASV_146","ASV_54",-0.88235294117647,"undirected","-"
"ASV_286","ASV_54",0.84066800169605,"undirected","+"
"ASV_149","ASV_54",0.811679449913428,"undirected","+"
"ASV_10","ASV_14",1,"undirected","+"
"ASV_17","ASV_14",0.942857142857143,"undirected","+"
"ASV_35","ASV_14",1,"undirected","+"
"ASV_36","ASV_14",0.828571428571429,"undirected","+"
"ASV_47","ASV_14",0.84066800169605,"undirected","+"
"ASV_54","ASV_14",-0.927633657043918,"undirected","-"
"ASV_44","ASV_14",0.885714285714286,"undirected","+"
"ASV_41","ASV_14",0.942857142857143,"undirected","+"
"ASV_161","ASV_14",0.828571428571429,"undirected","+"
"ASV_72","ASV_14",0.828571428571429,"undirected","+"
"ASV_50","ASV_14",0.828571428571429,"undirected","+"
"ASV_109","ASV_14",-0.942857142857143,"undirected","-"
"ASV_64","ASV_14",0.942857142857143,"undirected","+"
"ASV_99","ASV_14",0.828571428571429,"undirected","+"
"ASV_114","ASV_14",0.942857142857143,"undirected","+"
"ASV_96","ASV_14",0.942857142857143,"undirected","+"
"ASV_73","ASV_14",0.828571428571429,"undirected","+"
"ASV_103","ASV_14",0.885714285714286,"undirected","+"
"ASV_134","ASV_14",0.885714285714286,"undirected","+"
"ASV_226","ASV_14",-0.885714285714286,"undirected","-"
"ASV_169","ASV_14",-0.885714285714286,"undirected","-"
"ASV_210","ASV_14",-0.84066800169605,"undirected","-"
"ASV_146","ASV_14",0.84066800169605,"undirected","+"
"ASV_286","ASV_14",-0.828571428571429,"undirected","-"
"ASV_149","ASV_14",-0.885714285714286,"undirected","-"
"ASV_14","ASV_10",1,"undirected","+"
"ASV_17","ASV_10",0.942857142857143,"undirected","+"
"ASV_35","ASV_10",1,"undirected","+"
"ASV_36","ASV_10",0.828571428571429,"undirected","+"
"ASV_47","ASV_10",0.84066800169605,"undirected","+"
"ASV_54","ASV_10",-0.927633657043918,"undirected","-"
"ASV_44","ASV_10",0.885714285714286,"undirected","+"
"ASV_41","ASV_10",0.942857142857143,"undirected","+"
"ASV_161","ASV_10",0.828571428571429,"undirected","+"
"ASV_72","ASV_10",0.828571428571429,"undirected","+"
"ASV_50","ASV_10",0.828571428571429,"undirected","+"
"ASV_109","ASV_10",-0.942857142857143,"undirected","-"
"ASV_64","ASV_10",0.942857142857143,"undirected","+"
"ASV_99","ASV_10",0.828571428571429,"undirected","+"
"ASV_114","ASV_10",0.942857142857143,"undirected","+"
"ASV_96","ASV_10",0.942857142857143,"undirected","+"
"ASV_73","ASV_10",0.828571428571429,"undirected","+"
"ASV_103","ASV_10",0.885714285714286,"undirected","+"
"ASV_134","ASV_10",0.885714285714286,"undirected","+"
"ASV_226","ASV_10",-0.885714285714286,"undirected","-"
"ASV_169","ASV_10",-0.885714285714286,"undirected","-"
"ASV_210","ASV_10",-0.84066800169605,"undirected","-"
"ASV_146","ASV_10",0.84066800169605,"undirected","+"
"ASV_286","ASV_10",-0.828571428571429,"undirected","-"
"ASV_149","ASV_10",-0.885714285714286,"undirected","-"
"ASV_14","ASV_35",1,"undirected","+"
"ASV_10","ASV_35",1,"undirected","+"
"ASV_36","ASV_35",0.828571428571429,"undirected","+"
"ASV_47","ASV_35",0.84066800169605,"undirected","+"
"ASV_54","ASV_35",-0.927633657043918,"undirected","-"
"ASV_44","ASV_35",0.885714285714286,"undirected","+"
"ASV_41","ASV_35",0.942857142857143,"undirected","+"
"ASV_161","ASV_35",0.828571428571429,"undirected","+"
"ASV_72","ASV_35",0.828571428571429,"undirected","+"
"ASV_50","ASV_35",0.828571428571429,"undirected","+"
"ASV_109","ASV_35",-0.942857142857143,"undirected","-"
"ASV_64","ASV_35",0.942857142857143,"undirected","+"
"ASV_99","ASV_35",0.828571428571429,"undirected","+"
"ASV_114","ASV_35",0.942857142857143,"undirected","+"
"ASV_96","ASV_35",0.942857142857143,"undirected","+"
"ASV_73","ASV_35",0.828571428571429,"undirected","+"
"ASV_103","ASV_35",0.885714285714286,"undirected","+"
"ASV_134","ASV_35",0.885714285714286,"undirected","+"
"ASV_226","ASV_35",-0.885714285714286,"undirected","-"
"ASV_169","ASV_35",-0.885714285714286,"undirected","-"
"ASV_210","ASV_35",-0.84066800169605,"undirected","-"
"ASV_146","ASV_35",0.84066800169605,"undirected","+"
"ASV_286","ASV_35",-0.828571428571429,"undirected","-"
"ASV_149","ASV_35",-0.885714285714286,"undirected","-"
"ASV_54","ASV_47",-0.88235294117647,"undirected","-"
"ASV_49","ASV_47",-0.84066800169605,"undirected","-"
"ASV_55","ASV_47",0.811679449913428,"undirected","+"
"ASV_44","ASV_47",0.985610760609162,"undirected","+"
"ASV_112","ASV_47",0.84066800169605,"undirected","+"
"ASV_50","ASV_47",0.927633657043918,"undirected","+"
"ASV_86","ASV_47",-0.898645105261295,"undirected","-"
"ASV_109","ASV_47",-0.898645105261295,"undirected","-"
"ASV_64","ASV_47",0.898645105261295,"undirected","+"
"ASV_202","ASV_47",-0.811679449913428,"undirected","-"
"ASV_99","ASV_47",0.927633657043918,"undirected","+"
"ASV_96","ASV_47",0.898645105261295,"undirected","+"
"ASV_136","ASV_47",0.898645105261295,"undirected","+"
"ASV_159","ASV_47",0.811679449913428,"undirected","+"
"ASV_197","ASV_47",-0.84066800169605,"undirected","-"
"ASV_143","ASV_47",0.850841043487808,"undirected","+"
"ASV_210","ASV_47",-0.823529411764706,"undirected","-"
"ASV_146","ASV_47",1,"undirected","+"
"ASV_247","ASV_47",0.970588235294118,"undirected","+"
"ASV_47","ASV_146",1,"undirected","+"
"ASV_247","ASV_146",0.970588235294118,"undirected","+"
"ASV_146","ASV_210",-0.823529411764706,"undirected","-"
"ASV_286","ASV_210",0.84066800169605,"undirected","+"
"ASV_149","ASV_210",0.811679449913428,"undirected","+"
"ASV_14","ASV_3",0.828571428571429,"undirected","+"
"ASV_10","ASV_3",0.828571428571429,"undirected","+"
"ASV_35","ASV_3",0.828571428571429,"undirected","+"
"ASV_36","ASV_3",1,"undirected","+"
"ASV_47","ASV_3",0.927633657043918,"undirected","+"
"ASV_38","ASV_3",0.828571428571429,"undirected","+"
"ASV_66","ASV_3",-0.828571428571429,"undirected","-"
"ASV_54","ASV_3",-0.927633657043918,"undirected","-"
"ASV_39","ASV_3",0.885714285714286,"undirected","+"
"ASV_44","ASV_3",0.885714285714286,"undirected","+"
"ASV_161","ASV_3",0.828571428571429,"undirected","+"
"ASV_81","ASV_3",0.885714285714286,"undirected","+"
"ASV_50","ASV_3",1,"undirected","+"
"ASV_86","ASV_3",-0.885714285714286,"undirected","-"
"ASV_60","ASV_3",0.811679449913428,"undirected","+"
"ASV_99","ASV_3",1,"undirected","+"
"ASV_136","ASV_3",0.885714285714286,"undirected","+"
"ASV_134","ASV_3",0.828571428571429,"undirected","+"
"ASV_226","ASV_3",-0.828571428571429,"undirected","-"
"ASV_197","ASV_3",-0.942857142857143,"undirected","-"
"ASV_210","ASV_3",-0.927633657043918,"undirected","-"
"ASV_146","ASV_3",0.927633657043918,"undirected","+"
"ASV_247","ASV_3",0.898645105261295,"undirected","+"
"ASV_3","ASV_36",1,"undirected","+"
"ASV_47","ASV_36",0.927633657043918,"undirected","+"
"ASV_38","ASV_36",0.828571428571429,"undirected","+"
"ASV_66","ASV_36",-0.828571428571429,"undirected","-"
"ASV_54","ASV_36",-0.927633657043918,"undirected","-"
"ASV_39","ASV_36",0.885714285714286,"undirected","+"
"ASV_44","ASV_36",0.885714285714286,"undirected","+"
"ASV_161","ASV_36",0.828571428571429,"undirected","+"
"ASV_81","ASV_36",0.885714285714286,"undirected","+"
"ASV_50","ASV_36",1,"undirected","+"
"ASV_86","ASV_36",-0.885714285714286,"undirected","-"
"ASV_60","ASV_36",0.811679449913428,"undirected","+"
"ASV_99","ASV_36",1,"undirected","+"
"ASV_136","ASV_36",0.885714285714286,"undirected","+"
"ASV_134","ASV_36",0.828571428571429,"undirected","+"
"ASV_226","ASV_36",-0.828571428571429,"undirected","-"
"ASV_197","ASV_36",-0.942857142857143,"undirected","-"
"ASV_210","ASV_36",-0.927633657043918,"undirected","-"
"ASV_146","ASV_36",0.927633657043918,"undirected","+"
"ASV_247","ASV_36",0.898645105261295,"undirected","+"
"ASV_3","ASV_50",1,"undirected","+"
"ASV_36","ASV_50",1,"undirected","+"
"ASV_86","ASV_50",-0.885714285714286,"undirected","-"
"ASV_60","ASV_50",0.811679449913428,"undirected","+"
"ASV_99","ASV_50",1,"undirected","+"
"ASV_136","ASV_50",0.885714285714286,"undirected","+"
"ASV_134","ASV_50",0.828571428571429,"undirected","+"
"ASV_226","ASV_50",-0.828571428571429,"undirected","-"
"ASV_197","ASV_50",-0.942857142857143,"undirected","-"
"ASV_210","ASV_50",-0.927633657043918,"undirected","-"
"ASV_146","ASV_50",0.927633657043918,"undirected","+"
"ASV_247","ASV_50",0.898645105261295,"undirected","+"
"ASV_3","ASV_99",1,"undirected","+"
"ASV_36","ASV_99",1,"undirected","+"
"ASV_50","ASV_99",1,"undirected","+"
"ASV_136","ASV_99",0.885714285714286,"undirected","+"
"ASV_134","ASV_99",0.828571428571429,"undirected","+"
"ASV_226","ASV_99",-0.828571428571429,"undirected","-"
"ASV_197","ASV_99",-0.942857142857143,"undirected","-"
"ASV_210","ASV_99",-0.927633657043918,"undirected","-"
"ASV_146","ASV_99",0.927633657043918,"undirected","+"
"ASV_247","ASV_99",0.898645105261295,"undirected","+"
"ASV_143","ASV_197",-0.853310335187925,"undirected","-"
"ASV_210","ASV_197",0.84066800169605,"undirected","+"
"ASV_146","ASV_197",-0.84066800169605,"undirected","-"
"ASV_247","ASV_197",-0.84066800169605,"undirected","-"
"ASV_123","ASV_134",0.84066800169605,"undirected","+"
"ASV_226","ASV_134",-1,"undirected","-"
"ASV_169","ASV_134",-0.885714285714286,"undirected","-"
"ASV_210","ASV_134",-0.84066800169605,"undirected","-"
"ASV_256","ASV_134",-0.828571428571429,"undirected","-"
"ASV_134","ASV_226",-1,"undirected","-"
"ASV_169","ASV_226",0.885714285714286,"undirected","+"
"ASV_210","ASV_226",0.84066800169605,"undirected","+"
"ASV_256","ASV_226",0.828571428571429,"undirected","+"
"ASV_50","ASV_44",0.885714285714286,"undirected","+"
"ASV_86","ASV_44",-0.828571428571429,"undirected","-"
"ASV_109","ASV_44",-0.942857142857143,"undirected","-"
"ASV_64","ASV_44",0.942857142857143,"undirected","+"
"ASV_202","ASV_44",-0.828571428571429,"undirected","-"
"ASV_99","ASV_44",0.885714285714286,"undirected","+"
"ASV_96","ASV_44",0.942857142857143,"undirected","+"
"ASV_98","ASV_44",0.811679449913428,"undirected","+"
"ASV_136","ASV_44",0.828571428571429,"undirected","+"
"ASV_134","ASV_44",0.828571428571429,"undirected","+"
"ASV_226","ASV_44",-0.828571428571429,"undirected","-"
"ASV_210","ASV_44",-0.811679449913428,"undirected","-"
"ASV_146","ASV_44",0.985610760609162,"undirected","+"
"ASV_247","ASV_44",0.927633657043918,"undirected","+"
"ASV_3","ASV_2",0.885714285714286,"undirected","+"
"ASV_18","ASV_2",0.828571428571429,"undirected","+"
"ASV_30","ASV_2",0.942857142857143,"undirected","+"
"ASV_36","ASV_2",0.885714285714286,"undirected","+"
"ASV_47","ASV_2",0.898645105261295,"undirected","+"
"ASV_49","ASV_2",-0.942857142857143,"undirected","-"
"ASV_55","ASV_2",0.942857142857143,"undirected","+"
"ASV_39","ASV_2",0.828571428571429,"undirected","+"
"ASV_44","ASV_2",0.828571428571429,"undirected","+"
"ASV_112","ASV_2",0.828571428571429,"undirected","+"
"ASV_161","ASV_2",0.885714285714286,"undirected","+"
"ASV_50","ASV_2",0.885714285714286,"undirected","+"
"ASV_86","ASV_2",-1,"undirected","-"
"ASV_84","ASV_2",0.828571428571429,"undirected","+"
"ASV_99","ASV_2",0.885714285714286,"undirected","+"
"ASV_163","ASV_2",-0.885714285714286,"undirected","-"
"ASV_136","ASV_2",1,"undirected","+"
"ASV_197","ASV_2",-0.942857142857143,"undirected","-"
"ASV_143","ASV_2",0.971008312455224,"undirected","+"
"ASV_146","ASV_2",0.898645105261295,"undirected","+"
"ASV_247","ASV_2",0.927633657043918,"undirected","+"
"ASV_2","ASV_86",-1,"undirected","-"
"ASV_84","ASV_86",-0.828571428571429,"undirected","-"
"ASV_99","ASV_86",-0.885714285714286,"undirected","-"
"ASV_163","ASV_86",0.885714285714286,"undirected","+"
"ASV_136","ASV_86",-1,"undirected","-"
"ASV_197","ASV_86",0.942857142857143,"undirected","+"
"ASV_143","ASV_86",-0.971008312455224,"undirected","-"
"ASV_146","ASV_86",-0.898645105261295,"undirected","-"
"ASV_247","ASV_86",-0.927633657043918,"undirected","-"
"ASV_2","ASV_136",1,"undirected","+"
"ASV_86","ASV_136",-1,"undirected","-"
"ASV_197","ASV_136",-0.942857142857143,"undirected","-"
"ASV_143","ASV_136",0.971008312455224,"undirected","+"
"ASV_146","ASV_136",0.898645105261295,"undirected","+"
"ASV_247","ASV_136",0.927633657043918,"undirected","+"
"ASV_72","ASV_41",0.942857142857143,"undirected","+"
"ASV_109","ASV_41",-0.828571428571429,"undirected","-"
"ASV_64","ASV_41",0.828571428571429,"undirected","+"
"ASV_85","ASV_41",0.885714285714286,"undirected","+"
"ASV_114","ASV_41",0.828571428571429,"undirected","+"
"ASV_96","ASV_41",0.828571428571429,"undirected","+"
"ASV_73","ASV_41",0.942857142857143,"undirected","+"
"ASV_98","ASV_41",0.811679449913428,"undirected","+"
"ASV_103","ASV_41",0.942857142857143,"undirected","+"
"ASV_134","ASV_41",0.942857142857143,"undirected","+"
"ASV_123","ASV_41",0.927633657043918,"undirected","+"
"ASV_226","ASV_41",-0.942857142857143,"undirected","-"
"ASV_186","ASV_41",-0.828571428571429,"undirected","-"
"ASV_169","ASV_41",-0.942857142857143,"undirected","-"
"ASV_108","ASV_161",0.885714285714286,"undirected","+"
"ASV_50","ASV_161",0.828571428571429,"undirected","+"
"ASV_86","ASV_161",-0.885714285714286,"undirected","-"
"ASV_99","ASV_161",0.828571428571429,"undirected","+"
"ASV_114","ASV_161",0.942857142857143,"undirected","+"
"ASV_136","ASV_161",0.885714285714286,"undirected","+"
"ASV_197","ASV_161",-0.942857142857143,"undirected","-"
"ASV_271","ASV_161",-0.828571428571429,"undirected","-"
"ASV_245","ASV_161",-0.828571428571429,"undirected","-"
"ASV_149","ASV_161",-0.885714285714286,"undirected","-"
"ASV_125","ASV_183",0.84066800169605,"undirected","+"
"ASV_85","ASV_183",-0.898645105261295,"undirected","-"
"ASV_135","ASV_183",0.898645105261295,"undirected","+"
"ASV_105","ASV_183",0.898645105261295,"undirected","+"
"ASV_134","ASV_183",-0.811679449913428,"undirected","-"
"ASV_226","ASV_183",0.811679449913428,"undirected","+"
"ASV_179","ASV_183",0.811679449913428,"undirected","+"
"ASV_294","ASV_183",-0.970588235294118,"undirected","-"
"ASV_167","ASV_183",-0.985610760609162,"undirected","-"
"ASV_216","ASV_183",0.84066800169605,"undirected","+"
"ASV_256","ASV_183",0.84066800169605,"undirected","+"
"ASV_161","ASV_39",0.885714285714286,"undirected","+"
"ASV_81","ASV_39",0.885714285714286,"undirected","+"
"ASV_108","ASV_39",0.828571428571429,"undirected","+"
"ASV_50","ASV_39",0.885714285714286,"undirected","+"
"ASV_86","ASV_39",-0.828571428571429,"undirected","-"
"ASV_99","ASV_39",0.885714285714286,"undirected","+"
"ASV_136","ASV_39",0.828571428571429,"undirected","+"
"ASV_197","ASV_39",-0.942857142857143,"undirected","-"
"ASV_271","ASV_39",-0.885714285714286,"undirected","-"
"ASV_210","ASV_39",-0.898645105261295,"undirected","-"
"ASV_245","ASV_39",-0.885714285714286,"undirected","-"
"ASV_149","ASV_39",-0.828571428571429,"undirected","-"
"ASV_35","ASV_17",0.942857142857143,"undirected","+"
"ASV_54","ASV_17",-0.811679449913428,"undirected","-"
"ASV_41","ASV_17",0.828571428571429,"undirected","+"
"ASV_161","ASV_17",0.942857142857143,"undirected","+"
"ASV_108","ASV_17",0.828571428571429,"undirected","+"
"ASV_109","ASV_17",-0.885714285714286,"undirected","-"
"ASV_64","ASV_17",0.885714285714286,"undirected","+"
"ASV_164","ASV_17",-0.828571428571429,"undirected","-"
"ASV_114","ASV_17",1,"undirected","+"
"ASV_96","ASV_17",0.885714285714286,"undirected","+"
"ASV_180","ASV_17",-0.828571428571429,"undirected","-"
"ASV_248","ASV_17",-0.828571428571429,"undirected","-"
"ASV_197","ASV_17",-0.828571428571429,"undirected","-"
"ASV_158","ASV_17",-0.811679449913428,"undirected","-"
"ASV_149","ASV_17",-0.942857142857143,"undirected","-"
"ASV_86","ASV_112",-0.828571428571429,"undirected","-"
"ASV_163","ASV_112",-0.942857142857143,"undirected","-"
"ASV_136","ASV_112",0.828571428571429,"undirected","+"
"ASV_155","ASV_112",-0.828571428571429,"undirected","-"
"ASV_159","ASV_112",0.828571428571429,"undirected","+"
"ASV_154","ASV_112",-0.828571428571429,"undirected","-"
"ASV_143","ASV_112",0.912159323821575,"undirected","+"
"ASV_146","ASV_112",0.84066800169605,"undirected","+"
"ASV_247","ASV_112",0.927633657043918,"undirected","+"
"ASV_17","ASV_114",1,"undirected","+"
"ASV_96","ASV_114",0.885714285714286,"undirected","+"
"ASV_180","ASV_114",-0.828571428571429,"undirected","-"
"ASV_248","ASV_114",-0.828571428571429,"undirected","-"
"ASV_197","ASV_114",-0.828571428571429,"undirected","-"
"ASV_158","ASV_114",-0.811679449913428,"undirected","-"
"ASV_149","ASV_114",-0.942857142857143,"undirected","-"
"ASV_112","ASV_55",0.885714285714286,"undirected","+"
"ASV_86","ASV_55",-0.942857142857143,"undirected","-"
"ASV_60","ASV_55",0.811679449913428,"undirected","+"
"ASV_84","ASV_55",0.942857142857143,"undirected","+"
"ASV_93","ASV_55",-0.898645105261295,"undirected","-"
"ASV_163","ASV_55",-0.942857142857143,"undirected","-"
"ASV_136","ASV_55",0.942857142857143,"undirected","+"
"ASV_197","ASV_55",-0.828571428571429,"undirected","-"
"ASV_143","ASV_55",0.971008312455224,"undirected","+"
"ASV_146","ASV_55",0.811679449913428,"undirected","+"
"ASV_247","ASV_55",0.869656553478673,"undirected","+"
"ASV_79","ASV_72",0.811679449913428,"undirected","+"
"ASV_113","ASV_72",-0.819688599970537,"undirected","-"
"ASV_104","ASV_72",0.828571428571429,"undirected","+"
"ASV_144","ASV_72",-0.811679449913428,"undirected","-"
"ASV_73","ASV_72",1,"undirected","+"
"ASV_103","ASV_72",0.885714285714286,"undirected","+"
"ASV_134","ASV_72",0.828571428571429,"undirected","+"
"ASV_123","ASV_72",0.927633657043918,"undirected","+"
"ASV_226","ASV_72",-0.828571428571429,"undirected","-"
"ASV_169","ASV_72",-0.885714285714286,"undirected","-"
"ASV_256","ASV_72",-0.828571428571429,"undirected","-"
"ASV_64","ASV_109",-1,"undirected","-"
"ASV_114","ASV_109",-0.885714285714286,"undirected","-"
"ASV_96","ASV_109",-1,"undirected","-"
"ASV_98","ASV_109",-0.811679449913428,"undirected","-"
"ASV_180","ASV_109",0.828571428571429,"undirected","+"
"ASV_186","ASV_109",0.828571428571429,"undirected","+"
"ASV_146","ASV_109",-0.898645105261295,"undirected","-"
"ASV_247","ASV_109",-0.811679449913428,"undirected","-"
"ASV_109","ASV_64",-1,"undirected","-"
"ASV_114","ASV_64",0.885714285714286,"undirected","+"
"ASV_96","ASV_64",1,"undirected","+"
"ASV_98","ASV_64",0.811679449913428,"undirected","+"
"ASV_180","ASV_64",-0.828571428571429,"undirected","-"
"ASV_186","ASV_64",-0.828571428571429,"undirected","-"
"ASV_146","ASV_64",0.898645105261295,"undirected","+"
"ASV_247","ASV_64",0.811679449913428,"undirected","+"
"ASV_109","ASV_96",-1,"undirected","-"
"ASV_64","ASV_96",1,"undirected","+"
"ASV_98","ASV_96",0.811679449913428,"undirected","+"
"ASV_180","ASV_96",-0.828571428571429,"undirected","-"
"ASV_186","ASV_96",-0.828571428571429,"undirected","-"
"ASV_146","ASV_96",0.898645105261295,"undirected","+"
"ASV_247","ASV_96",0.811679449913428,"undirected","+"
"ASV_72","ASV_73",1,"undirected","+"
"ASV_103","ASV_73",0.885714285714286,"undirected","+"
"ASV_134","ASV_73",0.828571428571429,"undirected","+"
"ASV_123","ASV_73",0.927633657043918,"undirected","+"
"ASV_226","ASV_73",-0.828571428571429,"undirected","-"
"ASV_169","ASV_73",-0.885714285714286,"undirected","-"
"ASV_256","ASV_73",-0.828571428571429,"undirected","-"
"ASV_134","ASV_103",0.885714285714286,"undirected","+"
"ASV_160","ASV_103",0.828571428571429,"undirected","+"
"ASV_123","ASV_103",0.811679449913428,"undirected","+"
"ASV_226","ASV_103",-0.885714285714286,"undirected","-"
"ASV_169","ASV_103",-1,"undirected","-"
"ASV_210","ASV_103",-0.811679449913428,"undirected","-"
"ASV_286","ASV_103",-0.828571428571429,"undirected","-"
"ASV_149","ASV_103",-0.828571428571429,"undirected","-"
"ASV_103","ASV_169",-1,"undirected","-"
"ASV_210","ASV_169",0.811679449913428,"undirected","+"
"ASV_286","ASV_169",0.828571428571429,"undirected","+"
"ASV_149","ASV_169",0.828571428571429,"undirected","+"
"ASV_48","ASV_30",-0.828571428571429,"undirected","-"
"ASV_34","ASV_30",0.828571428571429,"undirected","+"
"ASV_47","ASV_30",0.84066800169605,"undirected","+"
"ASV_49","ASV_30",-1,"undirected","-"
"ASV_55","ASV_30",0.885714285714286,"undirected","+"
"ASV_112","ASV_30",0.885714285714286,"undirected","+"
"ASV_86","ASV_30",-0.942857142857143,"undirected","-"
"ASV_163","ASV_30",-0.942857142857143,"undirected","-"
"ASV_136","ASV_30",0.942857142857143,"undirected","+"
"ASV_159","ASV_30",0.885714285714286,"undirected","+"
"ASV_197","ASV_30",-0.828571428571429,"undirected","-"
"ASV_143","ASV_30",0.971008312455224,"undirected","+"
"ASV_146","ASV_30",0.84066800169605,"undirected","+"
"ASV_247","ASV_30",0.927633657043918,"undirected","+"
"ASV_166","ASV_24",0.828571428571429,"undirected","+"
"ASV_57","ASV_24",-0.828571428571429,"undirected","-"
"ASV_70","ASV_24",0.828571428571429,"undirected","+"
"ASV_76","ASV_24",1,"undirected","+"
"ASV_183","ASV_24",-0.927633657043918,"undirected","-"
"ASV_125","ASV_24",-0.828571428571429,"undirected","-"
"ASV_85","ASV_24",0.828571428571429,"undirected","+"
"ASV_107","ASV_24",0.828571428571429,"undirected","+"
"ASV_133","ASV_24",0.898645105261295,"undirected","+"
"ASV_123","ASV_24",0.811679449913428,"undirected","+"
"ASV_294","ASV_24",0.927633657043918,"undirected","+"
"ASV_167","ASV_24",0.885714285714286,"undirected","+"
"ASV_216","ASV_24",-0.828571428571429,"undirected","-"
"ASV_256","ASV_24",-0.942857142857143,"undirected","-"
"ASV_30","ASV_49",-1,"undirected","-"
"ASV_55","ASV_49",-0.885714285714286,"undirected","-"
"ASV_112","ASV_49",-0.885714285714286,"undirected","-"
"ASV_86","ASV_49",0.942857142857143,"undirected","+"
"ASV_163","ASV_49",0.942857142857143,"undirected","+"
"ASV_136","ASV_49",-0.942857142857143,"undirected","-"
"ASV_159","ASV_49",-0.885714285714286,"undirected","-"
"ASV_197","ASV_49",0.828571428571429,"undirected","+"
"ASV_143","ASV_49",-0.971008312455224,"undirected","-"
"ASV_146","ASV_49",-0.84066800169605,"undirected","-"
"ASV_247","ASV_49",-0.927633657043918,"undirected","-"
"ASV_50","ASV_81",0.885714285714286,"undirected","+"
"ASV_60","ASV_81",0.811679449913428,"undirected","+"
"ASV_99","ASV_81",0.885714285714286,"undirected","+"
"ASV_83","ASV_81",0.942857142857143,"undirected","+"
"ASV_197","ASV_81",-0.828571428571429,"undirected","-"
"ASV_210","ASV_81",-0.898645105261295,"undirected","-"
"ASV_24","ASV_76",1,"undirected","+"
"ASV_183","ASV_76",-0.927633657043918,"undirected","-"
"ASV_125","ASV_76",-0.828571428571429,"undirected","-"
"ASV_85","ASV_76",0.828571428571429,"undirected","+"
"ASV_107","ASV_76",0.828571428571429,"undirected","+"
"ASV_133","ASV_76",0.898645105261295,"undirected","+"
"ASV_123","ASV_76",0.811679449913428,"undirected","+"
"ASV_294","ASV_76",0.927633657043918,"undirected","+"
"ASV_167","ASV_76",0.885714285714286,"undirected","+"
"ASV_216","ASV_76",-0.828571428571429,"undirected","-"
"ASV_256","ASV_76",-0.942857142857143,"undirected","-"
"ASV_226","ASV_123",-0.84066800169605,"undirected","-"
"ASV_186","ASV_123",-0.898645105261295,"undirected","-"
"ASV_169","ASV_123",-0.811679449913428,"undirected","-"
"ASV_149","ASV_286",0.885714285714286,"undirected","+"
"ASV_57","ASV_38",-0.828571428571429,"undirected","-"
"ASV_81","ASV_38",0.885714285714286,"undirected","+"
"ASV_70","ASV_38",0.942857142857143,"undirected","+"
"ASV_50","ASV_38",0.828571428571429,"undirected","+"
"ASV_60","ASV_38",0.84066800169605,"undirected","+"
"ASV_183","ASV_38",-0.811679449913428,"undirected","-"
"ASV_99","ASV_38",0.828571428571429,"undirected","+"
"ASV_83","ASV_38",0.942857142857143,"undirected","+"
"ASV_133","ASV_38",0.927633657043918,"undirected","+"
"ASV_134","ASV_38",0.828571428571429,"undirected","+"
"ASV_226","ASV_38",-0.828571428571429,"undirected","-"
"ASV_256","ASV_38",-0.885714285714286,"undirected","-"
"ASV_61","ASV_57",0.885714285714286,"undirected","+"
"ASV_62","ASV_57",-0.828571428571429,"undirected","-"
"ASV_70","ASV_57",-0.885714285714286,"undirected","-"
"ASV_76","ASV_57",-0.828571428571429,"undirected","-"
"ASV_104","ASV_57",-0.828571428571429,"undirected","-"
"ASV_110","ASV_57",0.828571428571429,"undirected","+"
"ASV_144","ASV_57",0.84066800169605,"undirected","+"
"ASV_83","ASV_57",-0.885714285714286,"undirected","-"
"ASV_133","ASV_57",-0.927633657043918,"undirected","-"
"ASV_120","ASV_57",-0.885714285714286,"undirected","-"
"ASV_256","ASV_57",0.942857142857143,"undirected","+"
"ASV_136","ASV_163",-0.885714285714286,"undirected","-"
"ASV_143","ASV_163",-0.971008312455224,"undirected","-"
"ASV_247","ASV_163",-0.869656553478673,"undirected","-"
"ASV_146","ASV_143",0.850841043487808,"undirected","+"
"ASV_247","ASV_143",0.925476222741125,"undirected","+"
"ASV_79","ASV_70",0.811679449913428,"undirected","+"
"ASV_76","ASV_70",0.828571428571429,"undirected","+"
"ASV_125","ASV_70",-0.828571428571429,"undirected","-"
"ASV_94","ASV_70",-0.898645105261295,"undirected","-"
"ASV_83","ASV_70",0.885714285714286,"undirected","+"
"ASV_133","ASV_70",0.985610760609162,"undirected","+"
"ASV_150","ASV_70",0.828571428571429,"undirected","+"
"ASV_216","ASV_70",-0.828571428571429,"undirected","-"
